CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSkye,Notes
Terri Yarbrough Green,Democrat,House,1,"white, non-Hispanic",Female,see notes,99,https://www.facebook.com/people/Terri-Yarbrough-Green-for-Congress/61585254656309/,99,99,99,99,"campaign website link found on ballotpedia looks to be owned by someone else entirely, and doesnt feel safe at all, so I am not going to include it"
Rick Crawford (Incumbent),Republican,House,1,"white, non-Hispanic",Male,,,,,,,,
Chris Jones,Democrat,House,2,black,Male,https://chrisjonesforcongress.com/,https://chrisjonesforcongress.com/x/,https://chrisjonesforcongress.com/facebook/,https://chrisjonesforcongress.com/instagram/,https://chrisjonesforcongress.com/youtube/,https://www.tiktok.com/@jonesforar?lang=en,https://bsky.app/profile/did:plc:fzfi67lrwsei5xcpfr73jc3p,
Zack Huffman,Democrat,House,2,"white, non-Hispanic",Male,https://huffmanforthehouse.com/,99,https://www.facebook.com/people/Huffman-For-The-House/61579901583479/,https://www.instagram.com/zackforar/,99,https://www.tiktok.com/@HUFFMANFORTHEHOUSE,99,
French Hill (Incumbent),Republican,House,2,"white, non-Hispanic",Male,,,,,,,,
Chase McDowell,Republican,House,2,"white, non-Hispanic",Male,https://www.mcdowellforarkansas.com/,see notes,https://www.facebook.com/McDowellforArkansas/,99,99,99,99,"has a twitter, but hasnt been used in years, and no campaign use"
Robb Ryerse,Democrat,House,3,"white, non-Hispanic",Male,https://www.robbforcongress.com/,https://x.com/RobbRyerse,https://www.facebook.com/robbforarkansas,https://www.instagram.com/robbryerse,https://www.youtube.com/@RobbforCongress,99,https://bsky.app/profile/robbryerse.bsky.social,
Steve Womack (Incumbent),Republican,House,3,"white, non-Hispanic",Male,,,,,,,,
Steven Layne O'Donnell,Democrat,House,4,"white, non-Hispanic",Male,https://steveo4congress.com/,https://steveo4congress.com/#,see notes for all social media/99,https://steveo4congress.com/#,99,99,99,"the two sites listed for twitter and instagram dont exist, the links on the campaign website direct you right back to the campaign website"
"James ""Rus"" Russell, III",Democrat,House,4,"white, non-Hispanic",Male,https://russellforar.com/,https://www.x.com/@JamesRussell3rd,https://www.facebook.com/JamesRussell3rd,https://www.instagram.com/russellforar/,https://www.youtube.com/@RussellForAR,https://www.tiktok.com/@russellforarkansas?lang=en,99,
Bruce Westerman (Incumbent),Republican,House,4,"white, non-Hispanic",Male,,,,,,,,
Hallie Shoffner,Democrat,Senate,,"white, non-Hispanic",Female,https://www.hallieshoffner.com/,https://x.com/hallieshoffner,https://www.facebook.com/farmherhallie,https://www.instagram.com/hallieshoffner/,99,https://www.tiktok.com/@hallieshoffner,https://bsky.app/profile/hallieshoffner.bsky.social,
Ethan N. Dunbar,Democrat,Senate,,black,Male,https://ethanforarkansas.com/,https://x.com/EthanForAR,https://www.facebook.com/p/Ethan-for-Arkansas-61579951440881/,https://www.instagram.com/ethanforarkansas/,99,https://www.tiktok.com/@ethanforarkansas,99,
Tom Cotton (Incumbent),Republican,Senate,,"white, non-Hispanic",Male,,,,,,,,
Micah Ashby,Republican,Senate,,"white, non-Hispanic",Female,https://www.ashbyforussenate.com/,https://x.com/Micah4USSenate,https://www.facebook.com/profile.php?id=61581167725197,https://www.instagram.com/micahforussenate/,https://www.youtube.com/@MicahAshbyforUSSenate,https://www.tiktok.com/@micahashbyforussenate,99,
Jeb Little,Republican,Senate,,"white, non-Hispanic",Male,https://jeblittleforsenate.com/,https://x.com/JebLittleforAR,https://www.facebook.com/profile.php?id=61583979325342,https://www.instagram.com/jeblittleforsenate2026/,99,99,99,