CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Frederick D. Haynes III,,D,H,30,Black,M,https://www.haynesforcongress.com/,99,https://www.facebook.com/people/Haynes-For-Congress/61586383132511/,https://www.instagram.com/haynesforcongress,99,https://www.tiktok.com/@haynesforcongress,99,N/A
Rodney Labruce,,D,H,30,Black,M,https://labruceforcongress.com/,https://x.com/LaB4congress,https://www.facebook.com/labruceforcongress,https://www.instagram.com/rl4congress/,https://www.youtube.com/@LaBruceforCongress,https://www.tiktok.com/@labruceforcongress,99,N/A
Sholdon Daniels,,R,H,30,Black,M,https://www.danielsforus.com/,https://x.com/sholdondaniels,https://www.facebook.com/people/Sholdon-Daniels-For-Congress/61568654067848/,https://www.instagram.com/sholdon.daniels,99,https://www.tiktok.com/@sholdondaniels,99,"He posts campaign material on YouTube, but it's under the ""Sholdon Daniels Show"" banner and not a personal campaign account, so I chose not to include it."
Gregorio H. Heise,,R,H,30,Hispanic,M,https://gregorioforcongress.com/,https://x.com/GregorHeise,https://www.facebook.com/GregorioForCongress#,99,99,https://www.tiktok.com/@heise.for.congres,99,N/A
Everett Jackson,,R,H,30,Black,M,https://jacksonfortexas.com/,https://x.com/Jackson4Texas,https://www.facebook.com/everett.p.jackson/,https://www.instagram.com/jackson4texas/,99,99,99,That is his Campaign Facebook account but it's not a page.
Nils B. Walker,,R,H,30,White,M,https://www.walker4tx30.com/,https://x.com/Walker4Texas30,https://www.facebook.com/walker4tx30/,https://www.instagram.com/walker4tx30/,https://www.youtube.com/@Walker4TX30,https://www.tiktok.com/@walker4tx30,99,N/A
Oxford Christian Nordberg,,I,H,30,White,M,https://oxforcongress.com/,https://x.com/OxForCongress,99,https://www.instagram.com/oxforcongress/,https://www.youtube.com/@oxforcongress,99,99,N/A
Justin Early,,D,H,31,Black,M,https://www.votejustinearly.com/,https://x.com/votejustinearly,https://www.facebook.com/votejustinearly,https://www.instagram.com/votejustinearly,https://www.youtube.com/@VoteJustinEarly,https://www.tiktok.com/@votejustinearly,https://bsky.app/profile/votejustinearly.bsky.social,
Stuart Whitlow,,D,H,31,White,M,https://www.whitlowforcongress.com/,https://x.com/stuartwhitlow31,https://www.facebook.com/WhitlowForCongress/#,https://www.instagram.com/stuartwhitlow31,99,https://www.tiktok.com/@whitlowforcongress,99,"He has more campaign social media accounts, but they haven't been updated since his 2024 run, so I chose not to include them."
William Abel,,R,H,31,White,M,https://abel4congress.com/,https://x.com/Abel_tx31,https://www.facebook.com/people/William-Abel-for-Congress-TX-31/61582089112694/,https://www.instagram.com/william.abel.tx31/,https://www.youtube.com/@WilliamAbel-TX31/,https://www.tiktok.com/@abel_tx31,99,N/A
David L. Berry,,R,H,31,White,M,https://drberryforcongress.com/,https://x.com/DrBerryforTX,https://www.facebook.com/DrBerryforTX,https://www.instagram.com/drberryfortx/,99,99,99,N/A
"Steven ""Steve"" Dowell",,R,H,31,White,M,https://stevendowell.com/,99,https://www.facebook.com/people/Steve-Dowell-for-Congress/61580009274380/,https://www.instagram.com/majorstevedowell,https://www.youtube.com/channel/UCIdVwVaR1NxfceDxMvyBibA,99,99,N/A
Ed Ewald,,R,H,31,Not Sure,M,99,99,99,99,99,99,99,N/A
Abhiram Garapati,,R,H,31,Asian,M,https://www.garapatifortexas.com/,https://x.com/abhiramgarapat2,https://www.facebook.com/GarapatiForTexas/,https://www.instagram.com/garapatiabhiram/,99,99,99,N/A
Valentina Gomez,,R,H,31,Hispanic,F,https://www.valentinaforcongress.com/,https://x.com/ValentinaForUSA,https://www.facebook.com/people/Valentina-For-Congress/61581279904430/,https://www.instagram.com/valentinaforcongress/,https://www.youtube.com/@ValentinaGomezUSA,https://www.tiktok.com/@valentinaforcongress,99,"Campaign Goals: Pro-Life, Second Amendment, and... ""Become the best stock trader in history and post trades on X""?"
Raymond Hamden,,R,H,31,White,M,https://www.raymondfortexas.com/,99,https://www.facebook.com/people/Raymond-Hamden-for-US-Congress/61568264841276/,99,99,99,99,N/A
Elvis Lossa,,R,H,31,Hispanic,M,https://www.elvisforcongress.com/,https://x.com/elvisfortx31,https://www.facebook.com/people/Elvis-Lossa-for-Congress-TX-31/61584903837276/,https://www.instagram.com/elvisforcongress,99,https://www.tiktok.com/@elvis.for.congress,99,N/A
Offer Vince Shlomi,,R,H,31,White,M,https://www.shamwowguy.com/,https://x.com/RealShamwowGuy,https://www.facebook.com/shamwow/,https://www.instagram.com/vinceoffer,99,https://www.tiktok.com/@RealShamwowGuy,,"That is his Campaign Facebook account but it's not a page. And yes, he is the Shamwow guy."
Dan Barrios,,D,H,32,White,M,https://www.danbarriosforcongress.com/,https://x.com/barriosforus,https://www.facebook.com/DanBarriosForCongress,https://www.instagram.com/danbarriosforcongress,99,https://www.tiktok.com/@danbarriosforcongress,99,N/A
Anthony Bridges,,D,H,32,Black,M,https://www.anthonybridges.org/,99,99,https://www.instagram.com/abridges_tx32/,99,https://www.tiktok.com/@bridgesforcongress,https://bsky.app/profile/bridgesforcongress.bsky.social,N/A
Ryan Binkley,,R,H,32,White,M,https://binkleyforcongress.com/,https://x.com/ryanbinkley,https://www.facebook.com/BinkleyForCongress,https://www.instagram.com/ryanlbinkley,https://www.youtube.com/@binkleyforcongress,99,99,N/A
Paul L. Bondar,,R,H,32,White,M,https://www.electbondar.com/,https://x.com/ElectBondar/,https://www.facebook.com/people/Elect-Paul-L-Bondar/61558764012570/,https://www.instagram.com/realpaulbondar/,https://www.youtube.com/@paulbondarTX,99,99,N/A
Aimme Carrassco,,R,H,32,White,F,https://www.aimeeforcongress.com/,https://x.com/aimeecarrascotx,https://www.facebook.com/AimeeCarrascoForCongress,https://www.instagram.com/p/Cu_JepvsrDB/,99,99,99,N/A
Darrell Day,,R,H,32,White,M,https://dayfortexas.com/,https://x.com/dayfortexas,https://www.facebook.com/DayforTexas/,https://www.instagram.com/darrelldayforcongress,99,https://www.tiktok.com/@darrelldayforcongress,99,N/A
Gordon Heslop,,R,H,32,Not Sure,M,99,99,99,99,99,99,99,N/A
Monty Montanez,,R,H,32,Hispanic,M,https://www.montyforcongress.com/,https://x.com/montyfortx32?s=21,https://www.facebook.com/p/Monty-Monta%C3%B1ez-Candidate-for-US-Representative-Texas-32-61575107297958/?_rdr,https://www.instagram.com/montyforcongress,99,https://www.tiktok.com/@montyforcongress,99,N/A
Abteen Vaziri,,R,H,32,Other,M,https://www.abteenvaziri.com/,https://x.com/AbteenVaziriTX,99,https://www.instagram.com/abteenvaziri/,99,99,99,N/A
James Ussery,,R,H,32,White,M,https://www.jamesusseryforcongress.com/,99,https://www.facebook.com/people/James-Ussery-for-US-House-of-Representatives-Texas-CD-32/61581290377137/,99,99,99,99,N/A
Jace Yarbrough,,R,H,32,White,M,https://www.jaceforcongress.com/,https://x.com/JaceYarbrough,https://www.facebook.com/JaceForCongress/,https://www.instagram.com/jaceyarbrough/,https://www.youtube.com/@JaceForCongress,99,99,N/A
Charles M. Harper,,I,H,32,Black,M,99,99,99,99,https://www.youtube.com/@CharlesHarperTX32,99,99,N/A
Colin Allred,,D,H,33,Black,M,https://colinallred.com/,https://x.com/ColinAllredTX,https://www.facebook.com/ColinAllredTX,https://www.instagram.com/colinallred/,https://www.youtube.com/@colinallredTX,https://www.tiktok.com/@colinallredtx,https://bsky.app/profile/colinallredtx.bsky.social,N/A
Zeeshan Hafeez,,D,H,33,Other,M,https://www.zeeshanfortexas.com/,https://x.com/zeeshanfortexas,https://www.facebook.com/ZeeshanForTexas/,https://www.instagram.com/zeeshanfortexas,https://www.youtube.com/@zeeshanfortexas,https://www.tiktok.com/@zeeshanfortexas,https://bsky.app/profile/zeeshanfortexas.bsky.social,N/A
Carlos Quintanilla,,D,H,33,Hispanic,M,https://quintanillaforcongress.com/,https://x.com/accionamerica,https://www.facebook.com/CarlosQuintanillaforCongress/,https://www.instagram.com/carlosquintanillaofficial/?hl=en,99,https://www.tiktok.com/@carlosquintanilla33,99,N/A
Patrick David Gillespie,,R,H,33,White,M,https://patrickgillespie4congress33.com/,99,99,99,99,99,99,N/A
"Monte ""Doc"" Mitchell",,R,H,33,White,M,99,99,https://www.facebook.com/monte.mitchell.35,99,99,99,99,That is his Campaign Facebook account but it's not a page.
Kurt Schwab,,R,H,33,White,M,https://kurtschwab4congress.com/,99,99,https://www.instagram.com/kurtschwab4congress/,99,https://www.tiktok.com/@kurtschwab4texas,99,N/A
John Sims,,R,H,33,White,M,https://www.votejohnsims.com/,99,https://www.facebook.com/JohnforDistrict3/,99,99,99,99,N/A
Etienne Rosas,,D,H,34,Hispanic,M,https://www.rosasforcongress.com/,https://x.com/etiennerosas,https://www.facebook.com/RosasforCongress,https://www.instagram.com/etiennerev,https://www.youtube.com/@RosasforCongress,https://www.tiktok.com/@etiennerosas,99,N/A
Keith Allen,,R,H,34,White,M,https://keithallen4congress.com/,https://x.com/KAllen4Congress,https://www.facebook.com/people/Keith-Allen/100004764194940/,https://www.instagram.com/kallen4congress/,99,99,99,That is his Campaign Facebook account but it's not a page.
Luis Buentello,,R,H,34,Hispanic,M,https://electluis.com/,99,https://www.facebook.com/Luis4Congress,https://www.instagram.com/luis4congress/,99,https://www.tiktok.com/@luisforcongress,99,N/A
Eric Flores,,R,H,34,Hispanic,M,https://www.ericflores.com/,https://x.com/EricDFloress,https://www.facebook.com/people/Eric-Flores-for-Congress/61578310026781/,https://www.instagram.com/eric4texas/,https://www.youtube.com/@EricFloresforCongress,99,99,N/A
Mayra Flores,,R,H,34,Hispanic,F,https://www.mayrafloresforcongress.com/,https://x.com/MayraFlores4TX,https://www.facebook.com/mayrafloresforcongress,https://www.instagram.com/mayrafloresforcongress/,99,https://www.tiktok.com/@mayraflorestx,99,N/A
Fred Hinojosa,X,R,H,34,Hispanic,M,https://www.fredhinojosaforcongress.com/,https://x.com/FredForTexas,https://www.facebook.com/HinojosaForCongress#,https://www.instagram.com/fredhinojosaforcongress/,99,99,99,N/A
Gregory Scott Kunkle Jr.,,R,H,34,Hispanic,M,https://gregorykunkle.com/,https://x.com/GregoryKunkleJr,https://www.facebook.com/kunkleforcongress/,https://www.instagram.com/kunkleforcongresstx34/,https://www.youtube.com/channel/UCaf1hQMRYgS2QvMnk9tp8lA,https://www.tiktok.com/@kunkleforcongress,99,N/A
Scott Mandel,X,R,H,34,Hispanic,M,https://www.mandelfortexas.com/,https://x.com/MandelForTexas,https://www.facebook.com/MandelForTexas,https://www.instagram.com/MandelForTexas,99,99,99,N/A
Jay Nagy,X,R,H,34,Hispanic,M,99,https://x.com/JayNagy,https://www.facebook.com/people/Jay-Nagy-For-Congress/61582735707267/,https://www.instagram.com/jaynagyforcongress/,https://www.youtube.com/@JayNagyForCongress,99,99,"He had other campaign accounts, but they've already been deactivated."
Maureen Galindo,,D,H,35,White,F,https://www.maureenforuscongress.com/,99,https://www.facebook.com/people/Maureen-Galindo-for-Congress/61573407777184/,https://www.instagram.com/maureenforcongress,99,https://www.tiktok.com/@maureen_satx,99,N/A
Johnny C. Garcia,,D,H,35,Hispanic,M,https://www.votejohnnygarcia.com/,https://x.com/johnnygarciatx,https://www.facebook.com/Johnnygarciaforcongress,https://www.instagram.com/johnnygarciaforcongress/,99,https://www.tiktok.com/@johnnygarciaforcongress,99,N/A
John Lira,,D,H,35,Hispanic,M,https://www.liraforcongress.com/,https://x.com/liraforcongress,https://www.facebook.com/liraforcongress,https://www.instagram.com/liraforcongress/,https://www.youtube.com/@liraforcongress,https://www.tiktok.com/@liraforcongress,https://bsky.app/profile/liraforcongress.bsky.social,N/A
Whitney Masterson-Moyes,,D,H,35,White,F,https://whitneyfortexas.com/,https://x.com/whitney4texas,https://www.facebook.com/people/Whitney-for-Texas/61577262930979/,https://www.instagram.com/whitneyfortexas/,99,https://www.tiktok.com/@whitneyfortexas,99,N/A
Randy Adams,,R,H,35,White,M,https://www.randyadamsforcongress.com/,https://x.com/RandyAdamsTX35,https://www.facebook.com/RandyAdamsforCongress,https://www.instagram.com/RandyAdamsTX35,https://www.youtube.com/@RandyAdamsTX35,https://www.tiktok.com/@randyadamstx35,99,N/A
Josh Cortez,,R,H,35,Hispanic,M,https://joshcortez.com/,https://x.com/JoshCortezTX,https://www.facebook.com/CortezForCongress,https://www.instagram.com/CortezForCongress,https://www.youtube.com/@CortezForCongress,99,99,N/A
Carlos De La Cruz,,R,H,35,Hispanic,M,https://www.carlosforcongress.com/,https://x.com/CarlosForTexas,https://www.facebook.com/CarlosForTexas/,https://www.instagram.com/carlosforcongress/,https://www.youtube.com/channel/UC-o_r8iz5vmG-0LhsAGygyQ,99,99,N/A
Mark Eberwine,,R,H,35,Not Sure,M,99,99,99,99,99,99,99,N/A
Jay Furman,,R,H,35,White,M,https://commanderfurman.com/,https://x.com/commanderfurman,https://www.facebook.com/CommanderJayFurman,https://www.instagram.com/CommanderFurman,https://www.youtube.com/@CommanderFurman,99,99,N/A
Vanessa Hicks-Callaway,,R,H,35,Black,F,https://www.callawayforcongress.com/,99,99,99,99,99,99,N/A
Ryan Krause,,R,H,35,White,M,https://www.ryankrauseforcongress.com/,99,https://www.facebook.com/krause4congress,99,https://www.youtube.com/@RyanKrauseforCongress,99,99,N/A
Larry La Rose,,R,H,35,Hispanic,M,https://larrylaroseforcongress.com/,https://x.com/larrylarose13,https://www.facebook.com/larry.la.rose.2025/,https://www.instagram.com/larrylarose777/,99,99,99,That is his Campaign Facebook account but it's not a page.
Rod Lingsch,,R,H,35,White,M,https://uscf.life/am/,https://x.com/Rod4Congress,https://www.facebook.com/RodLingsch4Congress/,99,https://www.youtube.com/@Rod4Congress,99,99,N/A
John Lujan,,R,H,35,Hispanic,M,https://www.votelujan.com/,https://x.com/LujanForTX,https://www.facebook.com/VoteLujan/,https://www.instagram.com/votelujan/,https://www.youtube.com/channel/UC2E61KDiKQWKf_WYYpXarrg,99,99,N/A
Steven Wright,,R,H,35,White,M,https://www.stevewrightfortx35.com/,https://x.com/SteveWrightCD35,https://www.facebook.com/stevewrightfortx35,https://www.instagram.com/steve_wright_for_tx_35/,99,https://www.tiktok.com/@steven.wright.for,99,N/A
Rhonda Hart,,D,H,36,White,F,https://www.hart4congress.com/,99,99,99,99,99,99,"She has more campaign social media accounts, but they haven't been updated since her 2024 run, so I chose not to include them."
Doug Alan Rogers,,D,H,36,White,M,https://dougrogersfortexas.com/,99,https://www.facebook.com/people/Doug-Rogers-for-Texas/61584081807411/,https://www.instagram.com/dougrogersfortexas/,https://www.youtube.com/channel/UChMLvddqPsfcLE_4_oHPnPQ,99,99,N/A
Jonathan Pipeliner Mitchell,,R,H,36,White,M,https://www.mitchellfortx.com/,https://x.com/JMitchellforTX,https://www.facebook.com/JonathanMitchellforCongress#,99,99,99,99,"He loves pipelining so much that on the ballot his middle name is listed as ""Pipeliner."""
Esther De Jesus Fleharty,,D,H,37,Hispanic,F,https://www.flehartyforcongress.com/,99,99,https://www.instagram.com/esther_for_congress/,99,https://www.tiktok.com/@estherforcongress37,99,N/A
Ge'Nell Gary,,R,H,37,Black,F,https://genellgary.com/,https://x.com/Garyfortx37,https://www.facebook.com/Garyfortx37,https://www.instagram.com/ggaryfortx37/,https://www.youtube.com/@GaryForTX37,99,99,N/A
Janet Malzahn,,R,H,37,White,F,https://www.janet4congress.com/,https://x.com/Janet4congress,https://www.facebook.com/people/Janet4Congress/61585999425330/,99,99,99,99,N/A
Lauren B. Peña,,R,H,37,Hispanic,F,https://www.lauren4congress.com/,https://x.com/pena4ATX,https://www.facebook.com/lauren.b.pena,https://www.instagram.com/laurenbpena/,99,https://www.tiktok.com/@lauren4congress,99,That is her Campaign Facebook account but it's not a page.
James Kinney,,I,H,37,Not Sure,I,99,99,99,99,99,99,99,N/A
Theresa Courts,,D,H,38,White,F,https://www.courtsforcongress.com/,99,https://www.facebook.com/p/Theresa-Courts-for-Congress-61580420820668/,https://www.instagram.com/theresacourtsforcongress/,99,https://www.tiktok.com/@courts.for.congre,99,N/A
Marvalette Hunter,,D,H,38,Black,F,https://www.marvalettehunter.com/,https://x.com/Hunter4Congress,https://www.facebook.com/Hunter4Congress/,https://www.instagram.com/hunter4congress/,https://www.youtube.com/@MarvaletteHunterCampaign,99,99,N/A
Melissa McDonough,,D,H,38,White,F,https://melissaforcongress.com/,99,https://www.facebook.com/MelissaForCD38,https://www.instagram.com/melissaforcd38/,https://www.youtube.com/@MelissaMcDonough-u4h,https://www.tiktok.com/@melissamcdonoughtxcd38,https://bsky.app/profile/melissamcdonough.bsky.social,N/A
Avery Ayers,,R,H,38,Black,M,https://ayers4.us/,https://x.com/averycampaign,99,https://www.instagram.com/averylayers,https://www.youtube.com/@AyersCampaign,99,99,N/A
Jon Bonck,,R,H,38,White,M,https://www.jonbonck.com/,https://x.com/TeamBonck,https://www.facebook.com/JonBonckTX/,https://www.instagram.com/teambonck/,https://www.youtube.com/@JonBonckForCongress,99,99,That is his Campaign Facebook account but it's not a page.
Shelly DeZevallos,,R,H,38,White,F,https://shellyforcongress.com/,https://x.com/ShellydeZev,https://www.facebook.com/ShellyForCongress/?rdid=mDfGGTKp5rz3dZXK,99,https://www.youtube.com/channel/UCLo-kZ4E4Owpe3C_5TGNOhg,99,99,N/A
Craig Goralski,,R,H,38,White,M,https://www.craigforthe38th.org/,https://x.com/CraigforTX38,https://www.facebook.com/people/CraigforCongress-Goralski/pfbid0G69ZrzDUbr5URuiuv1aLzYGrv1UwgLaDhjqk8qnAaagPjRUEh8p5XDCzQ9vDhSYBl/,https://www.instagram.com/craig_for_congress_tx38/,99,99,99,That is his Campaign Facebook account but it's not a page.
Barrett McNabb,,R,H,38,White,M,https://www.barrettmcnabb.com/,https://x.com/BarrettMcNabbTX,https://www.facebook.com/BarrettMcNabbforTexas/,https://www.instagram.com/barrettmcnabb/,https://www.youtube.com/@BarrettMcNabbforTexas/,99,99,N/A
Carmen Maria Montiel,,R,H,38,Hispanic,F,https://carmen4congress.com/,https://x.com/carmen4congress,https://www.facebook.com/CarmenForCongress,https://www.instagram.com/carmen4congress/,99,https://www.tiktok.com/@carmenmariamontie,99,She seems to be under the impression she's running in the 18th when she's not.
Michael Pratt,,R,H,38,White,M,https://www.prattfortexas.com/,https://x.com/pratt_michael,99,https://www.instagram.com/dr.michaelpratt,99,99,99,N/A
Larry Rubin,,R,H,38,White,M,https://larryrubinforcongress.com/,https://x.com/lrubin,https://www.facebook.com/larryrubinforcongress/,https://www.instagram.com/larryrubinforcongress/,https://www.youtube.com/@larryrubinforcongress,https://www.tiktok.com/@larryrubinforcongress,99,N/A
Jennifer Sundt,,R,H,38,White,F,99,99,99,99,99,99,99,N/A
Jeff Yuna,,R,H,38,White,M,https://www.jeffyunafortexas.com/,https://x.com/JeffYunaforTX/,https://www.facebook.com/jeffyunafortx/,https://www.instagram.com/jeffyunafortx/,99,99,99,That is his Campaign Facebook account but it's not a page.
William M. Taggart IV,,I,H,38,White,M,https://williamtaggart.org/,https://x.com/wmtaggart4,99,99,99,99,99,N/A