CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes,Incumbent
Jon Husted,,R,Senate,,White,M,,,,,,,,Incumbent,X
Sherrod Brown,,D,Senate,,White,M,https://www.sherrodbrown.com/,https://x.com/sherrodbrown,https://www.facebook.com/sherrod,https://www.instagram.com/sherrod/,https://www.youtube.com/channel/UCt_l7Nge_872rTm5Jvbo6Mw,https://www.tiktok.com/@sherrodbrown,https://bsky.app/profile/sherrodbrownoh.bsky.social,N/A,
Ron Kincaid,,D,Senate,,White,M,https://kincaidforsenate.com/,99,https://www.facebook.com/KincaidForSenate#,99,https://www.youtube.com/@RonKincaidForSenate_2026,99,https://bsky.app/profile/kincaidforsenate.bsky.social,N/A,
Jeffrey M. Kanter,,L,Senate,,Not Sure,M,99,99,99,99,99,99,99,N/A,
William B. Redpath,,L,Senate,,White,M,99,99,99,99,99,99,99,N/A,
Greg Levy,,I,Senate,,Black,M,https://www.greg4senate.com/,https://x.com/GregLevy4Senate,99,https://www.instagram.com/greglevy4senate,99,https://www.tiktok.com/@greglevy4senate,99,N/A,
Greg Landsman,,D,House,1,White,M,,,,,,,,Incumbent,X
Damon Lynch,,D,House,1,Black,M,https://www.friendsofdamonlynch.com/,99,https://www.facebook.com/people/Damon-Lynch-IV/61585558940212/,https://www.instagram.com/dameforever/,99,99,99,"There's something weird going on here. I think an AI company scraped his website and social media and has created a fake website and TikTok for him, which I didn't list... Safe to ignore, but in case you find those when checking my work, be cautious.",
Holly Adams,,R,House,1,Not Sure,F,99,99,99,99,99,99,99,N/A,
Eric Conroy,,R,House,1,White,M,https://ericconroy.com/,https://x.com/theeric42,https://www.facebook.com/ericconroyforcongress/,https://www.instagram.com/Eric_c42,https://www.youtube.com/channel/UCvz-apSIJj9rTD_AeyiJJJA,99,99,N/A,
Steven Erbeck,,R,House,1,White,M,https://www.erbeckforcongress.com/,https://x.com/stevenberbeck,https://www.facebook.com/erbeckforcongress,https://www.instagram.com/erbeckforcongress,99,99,99,N/A,
Rosemary Oglesby-Henry,,R,House,1,Black,F,https://www.votemsrosemary.com/,https://x.com/votemsrosemary,https://www.facebook.com/VoteMsRosemary/,https://www.instagram.com/votemsrosemary,https://www.youtube.com/@VoteMsRosemary,https://www.tiktok.com/@votemsrosemary,99,N/A,
John Hancock,,L,House,1,White,M,https://hancock4liberty.com/,https://x.com/HancockCincy,https://www.facebook.com/people/John-Hancock-for-Congress/61566603867413/,https://www.instagram.com/Hancock4Liberty,https://www.youtube.com/@Hancock4Liberty,https://www.tiktok.com/@john.hancock4liberty,99,N/A,
David Taylor,,R,House,2,White,M,,,,,,,,Incumbent,X
Andrew Gage,,D,House,2,Not Sure,M,99,99,99,99,99,99,99,N/A,
Brian Kenderes,,D,House,2,White,M,99,99,99,99,99,99,99,N/A,
Jen Mazzuckelli,,D,House,2,White,F,99,99,https://www.facebook.com/p/Mazzuckelli-for-Ohio-2-61555550788214/,99,99,99,99,N/A,
Todd Wilson,,D,House,2,White,M,99,99,https://www.facebook.com/people/Todd-Wilson-for-US-House-of-Representatives-OH-2nd/61586534617563/,99,99,99,99,N/A,
Bob Carr,,R,House,2,Not Sure,M,99,99,99,99,99,99,99,N/A,
Joyce Beatty,,D,House,3,Black,F,,,,,,,,Incumbent,X
Joe Gerard,,D,House,3,White,M,https://www.joegforcongress.com/,99,99,https://www.instagram.com/votejoeg/,99,99,99,N/A,
Cleophus Dulaney,,R,House,3,Black,M,99,https://x.com/KDSFurnishings,99,99,99,99,99,N/A,
Jim Jordan,,R,House,4,White,M,,,,,,,,Incumbent,X
Joshua Kolasinski,,D,House,4,White,M,99,99,https://www.facebook.com/people/Joshua-Kolasinski-for-Ohios-4th-Congressional-District/61586747067579/,99,99,99,99,N/A,
Tamie Wilson,,D,House,4,Mixed,F,99,99,99,99,99,99,99,"Several social media accounts, plus a website, from her last campaign, but none updated to 2026.",
Bob Latta,,R,House,5,White,M,,,,,,,,Incumbent,X
Charles Brown,,D,House,5,Not Sure,M,99,99,99,99,99,99,99,N/A,
Daniel Burket,,D,House,5,White,M,https://www.burketforcongress.com/,99,https://www.facebook.com/people/Daniel-Burket-for-Congress-OH-5/61584521987124/,99,99,99,99,N/A,
Martin Heberling III,,D,House,5,White,M,https://www.heberlingforohio.com/,https://x.com/HeberlingOH,https://www.facebook.com/HeberlingOH,99,99,99,99,N/A,
Brian Shaver,,D,House,5,White,M,99,99,99,99,99,99,99,N/A,
Scott Tabor,,D,House,5,White,M,https://setandready.org/,99,99,99,99,99,99,N/A,
Erica Kelley,,R,House,5,White,F,99,99,https://www.facebook.com/p/Erica-4-Congress-61576134134222/,99,99,99,99,N/A,
Robert Owsiak Jr.,,R,House,5,White,M,99,99,https://www.facebook.com/RobertOwsiakJrforcongress/,99,99,99,99,N/A,
Dalton Franklin,,I,House,5,White,M,99,99,99,99,99,99,99,N/A,
Michael Rulli,,R,House,6,White,M,,,,,,,,Incumbent,X
Sam Barrick,,D,House,6,Not Sure,Not Sure,99,99,99,99,99,99,99,N/A,
Sean Connolly,,D,House,6,White,M,https://seanforohio.com/,https://x.com/SeanforOhio,https://www.facebook.com/people/SeanforOhio/61583522467011/,https://www.instagram.com/seanforohio/,https://www.youtube.com/@SeanforOhio,https://www.tiktok.com/@seanforohio,99,N/A,
Charles DiPalma,,D,House,6,White,M,99,99,99,99,99,99,99,N/A,
Brent Hanni,,D,House,6,White,M,99,99,99,99,99,99,99,N/A,
Elizabeth Kirtley,,D,House,6,White,F,99,99,99,https://www.instagram.com/elizabethkirtleyforcongress/,99,99,99,N/A,
Michael Kripchak,X,D,House,6,White,M,99,https://x.com/KripchakOH,https://www.facebook.com/KripchakForCongress,https://www.instagram.com/kripchakforcongress/,https://www.youtube.com/@KripchakForCongress/featured,99,99,Now running for State Senate. May transition campaign accounts over to that race but for now they remain Congressional.,
Malcolm Ritchie,,D,House,6,White,M,https://malcolmsritchie.com/,99,https://www.facebook.com/people/Malcolm-Ritchie-for-Congress/61574784555746/,https://www.instagram.com/malcolmritchie_ohio/,https://www.youtube.com/@Ritchieforcongressohio,99,https://bsky.app/profile/ritchieforcongress.bsky.social,N/A,
Adrian Vitus,,D,House,6,White,M,https://www.vitusforohio.com/,https://x.com/vitusforohio,https://www.facebook.com/VitusforOhio/,https://www.instagram.com/vitusforohio/,https://www.youtube.com/@VitusforOhio,https://www.tiktok.com/@vitusforohio,99,N/A,
Jullie Kelley,,R,House,6,White,F,99,99,99,99,99,99,99,N/A,
Max Miller,,R,House,7,White,M,,,,,,,,Incumbent,X
John Butchko,,D,House,7,White,M,99,99,99,99,99,99,99,N/A,
Ann Marie Donegan,,D,House,7,White,F,https://www.doneganforcongress.com/,99,https://www.facebook.com/VoteAMD/,99,99,99,99,"Website is ""under construction"", she says.",
Michael Eisner,,D,House,7,White,M,https://eisnerforcongress.com/,99,https://www.facebook.com/eisnerforcongress,https://www.instagram.com/eisnerforcongress/,99,99,99,N/A,
Ed FitzGerald,,D,House,7,White,M,https://www.fitzgeraldforcongress.com/,99,https://www.facebook.com/people/FitzGerald-for-Congress/61578531367339/,https://www.instagram.com/edfitzgeraldforcongress,https://www.youtube.com/@EDFITZGERALDCONGRESS,https://www.tiktok.com/@edfitzgeraldforcongress,https://bsky.app/profile/fitzgeraldcongress.bsky.social,N/A,
Keith Mundy,,D,House,7,White,M,https://www.keithmundyforcongress.com/,99,https://www.facebook.com/MundyforCongress/,https://www.instagram.com/mundykeith/,99,99,99,"He had a Twitter, but it was suspended.",
Brian Poindexter,,D,House,7,White,M,https://poindexterforcongress.com/,https://x.com/bpforcongress,https://www.facebook.com/PoindexterForCongress,https://www.instagram.com/PoindexterForCongress,https://www.youtube.com/@poindexterforcongress,https://www.tiktok.com/@poindexterforcongress,https://bsky.app/profile/poindexterforcongress.com,N/A,
Laura Rodriguez-Carbone,,D,House,7,Hispanic,F,99,99,99,99,99,99,99,N/A,
Scott Schulz,,D,House,7,White,M,https://scottforohio.com/,https://x.com/scottforohio/,https://www.facebook.com/scottforohio26/,https://www.instagram.com/scottforohio/,https://www.youtube.com/@scottforohio2026,99,99,N/A,
Warren Davidson,,R,House,8,White,M,,,,,,,,Incumbent,X
Vanessa Enoch,,D,House,8,Black,F,https://enochforcongress.com/,https://x.com/DrVEnoch,https://www.facebook.com/1DocEnoch/,https://www.instagram.com/doc.enoch/?hl=en,https://www.youtube.com/@VanessaEnoch/,https://www.tiktok.com/@drvanessaenoch,99,N/A,
Madaris Grant,,D,House,8,Black,M,https://www.madarisforcongress.com/,https://x.com/madarisgrant,https://www.facebook.com/MadarisGrantforCongress/,https://www.instagram.com/madarisforcongress/,https://www.youtube.com/@madarisforcongress,https://www.tiktok.com/@madarisforcongress,99,N/A,
Marcy Kaptur,,D,House,9,White,F,,,,,,,,Incumbent,X
Anthony Campbell,,R,House,9,White,M,https://www.campbell4.us/,https://x.com/campbell4us,https://www.facebook.com/Campbell4us/,https://www.instagram.com/campbell4US,https://www.youtube.com/@campbell4US,https://www.tiktok.com/@campbell4US,99,N/A,
Jacob Frost,,R,House,9,White,M,99,99,99,99,99,99,99,N/A,
Wayne Kinsel,X,R,House,9,White,M,https://www.kinsel4congress.com/,99,https://www.facebook.com/people/Wayne-Kinsel-for-Congress/61580815376113/,99,99,99,99,N/A,
Derek Merrin,,R,House,9,White,M,https://www.derekmerrin.com/,https://x.com/DerekMerrin,https://www.facebook.com/derekmerrinforohio,https://www.instagram.com/derekmerrinforcongress/,99,99,99,"He has a YouTube account, but it hasn't been updated since his last run for this seat.",
Alea Nadeem,,R,House,9,Middle Eastern,F,https://aleaforcongress.com/,https://x.com/AleaforOH,https://www.facebook.com/aleanadeemforcongress,https://www.instagram.com/aleanadeem/,https://www.youtube.com/@AleaNadeem,https://www.tiktok.com/@alea.for7,99,N/A,
Madison Sheahan,,R,House,9,White,F,https://www.sheahanforohio.com/,https://x.com/TeamSheahan,https://www.facebook.com/people/Sheahan-for-Ohio/61586636070975/,99,99,99,99,N/A,
Josh Williams,,R,House,9,Black,M,https://www.joshwilliamsforohio.com/,https://x.com/joshwilliamsoh,https://www.facebook.com/joshwilliamsforohio/,https://www.instagram.com/joshwilliamsforohio/?hl=en,99,https://www.tiktok.com/@joshwilliamsforohio,99,N/A,
Matthew Althaus,,L,House,9,Not Sure,M,99,99,99,99,99,99,99,N/A,
David Gedert,,L,House,9,White,Other,https://sugarforohio.com/,99,https://www.facebook.com/SugarForOhio,99,99,https://www.tiktok.com/@libertariandragqueen,99,Gedert is Intersex and uses both he/him and she/her pronouns. And is also running in Drag. Cool. :),
Mike Turner,,R,House,10,White,M,,,,,,,,Incumbent,X
Janice Beckett,,D,House,10,White,F,99,99,99,99,99,99,99,N/A,
David Esrati,,D,House,10,Middle Eastern,M,https://electesrati.com/,https://x.com/esrati,https://www.facebook.com/ElectEsrati,,https://www.youtube.com/c/electesrati,https://www.tiktok.com/@electesrati,,,
Manuel Foggie,,D,House,10,Black,M,https://www.foggieforcongress.com/,https://x.com/manuelfoggie,99,https://www.instagram.com/foggieforcongress,99,99,99,N/A,
Jan Kinner,,D,House,10,Not Sure,Not Sure,99,99,99,99,99,99,99,N/A,
Kristina Knickerbocker,,D,House,10,White,F,https://kristinaknickerbocker.com/,https://x.com/KnickerbockerOH?s=20,https://www.facebook.com/kristinaknickerbocker,https://www.instagram.com/kristinaknickerbocker/,https://www.youtube.com/channel/UC5z_DcpjG8gkRtm2RMTAoLA,https://www.tiktok.com/@kristinaknickerbocker,https://bsky.app/profile/knickerbockeroh.bsky.social,N/A,
Tony Pombo,,D,House,10,White,M,https://www.votepombo.org/,99,99,99,99,99,99,N/A,
Thomas McMasters,,L,House,10,White,M,99,https://x.com/mayormcmasters,https://www.facebook.com/MayorTomMcMasters/,99,https://www.youtube.com/@IamaTomMcMastersLibertarian/,99,99,N/A,
Shontel Brown,,D,House,11,Black,F,,,,,,,,Incumbent,X
Sean Freeman,,D,House,11,White,M,https://www.freemanforcongress.com/,https://x.com/SPFsunscreen,https://www.facebook.com/freemanforcongress/,https://www.instagram.com/seanfreemancle/,https://www.youtube.com/channel/UC6dqD6a-aVFCNLee0BpkemA,https://www.tiktok.com/@livefree2024?lang=en,99,N/A,
Ardelia Holmes,,D,House,11,Black,F,https://www.ardeliaholmes.com/,99,99,https://www.instagram.com/ardeliahofficial,99,99,99,"She has a Facebook campaign account, but it's a profile.",
David Light,,D,House,11,White,M,99,99,99,99,99,99,99,N/A,
Cortney Peterson,,D,House,11,White,F,https://www.cortneyforcongress.org/,99,99,https://www.instagram.com/cortneyforcongress/,99,https://www.tiktok.com/@cortneyforcongress,https://bsky.app/profile/cortneyforcongress.bsky.social,N/A,
James Hemphill,,R,House,11,Black,M,99,99,99,99,99,99,99,None of his social media pages have been updated since his last campaign for this seat.,
Mike Kirchner,,R,House,11,Not Sure,M,99,99,99,99,99,99,99,N/A,
Troy Balderson,,R,House,12,White,M,,,,,,,,Incumbent,X
Jerrad Christian,,D,House,12,White,M,https://www.christianforohio.com/,https://x.com/JerradChristian,https://www.facebook.com/christianforohio/,https://www.instagram.com/jerrad.christian/,https://www.youtube.com/@JerradChristianResists/,https://www.tiktok.com/@jerradchristian,https://bsky.app/profile/jerradchristian.bsky.social,N/A,
Daniel Crawford,,D,House,12,White,M,https://www.danielhcrawfordthe3rd.com/,https://x.com/danielfornewark,https://www.facebook.com/DanielHCrawfordtheThird/,99,99,99,99,N/A,
Jason Reynard,,D,House,12,Not Sure,M,99,99,99,99,99,99,99,N/A,
Emilia Sykes,,D,House,13,Black,F,,,,,,,,Incumbent,X
Margaret Briem,,R,House,13,White,F,https://www.margaretbriem.com/,https://x.com/LivethLifeULove,99,99,99,99,99,"She has a Facebook campaign account, but it's a personal page.",
Jeremy Caudill,,R,House,13,White,M,99,99,99,99,99,99,99,N/A,
Carey Coleman,,R,House,13,White,M,https://careycoleman.com/,https://x.com/colemanforohio,https://www.facebook.com/colemanforohio,https://www.instagram.com/colemanforcongress/,99,https://www.tiktok.com/@colemanforcongress,99,N/A,
Sanjin Drakovac,,R,House,13,White,M,https://sanjind.com/,99,99,99,99,99,99,Universal healthcare Republican? That's new.,
Neil Patel,,R,House,13,Asian,M,https://www.neilforohio.com/,99,99,https://www.instagram.com/neilforohio/,99,99,99,N/A,
Kevin Siembida,,R,House,13,White,M,99,99,99,99,99,99,99,N/A,
Sandeep Dixit,,I,House,13,Asian,M,https://www.sandeepforcongress2026.com/,https://x.com/SandeepForOH13,https://www.facebook.com/page.sandeepforcongress2026,https://www.instagram.com/sandeepforcongress2026,https://www.youtube.com/@sandeepforcongress2026,99,99,He has a second website (https://sandeep-dixit.com/),
David Joyce,,R,House,14,White,M,,,,,,,,Incumbent,X
Maria Jukic,,D,House,14,White,F,99,99,99,99,99,99,99,N/A,
Bill O'Neill,,D,House,14,White,M,https://oneillforcongress.com/,99,99,99,99,99,99,N/A,
Carl Setzer,,D,House,14,White,M,https://setzerforcongress.com/,https://x.com/SetzerCongress,https://www.facebook.com/SetzerForCongress/,https://www.instagram.com/setzerforcongress/,99,https://www.tiktok.com/@setzerforcongress,99,N/A,
Nicole Frenchko,,R,House,14,Not Sure,F,99,https://x.com/nikifrenchko,https://www.facebook.com/FrenchkoforCommissioner/,https://www.instagram.com/electnikifrenchko,99,99,99,N/A,
Mark Zetzer,,R,House,14,White,M,https://www.markzetzerforcongress.com/,https://x.com/MarkForMOGA,https://www.facebook.com/MarkForMOGA,https://www.instagram.com/mark.formoga/,https://www.youtube.com/@MarkForMOGA,https://www.tiktok.com/@markformoga,99,N/A,
Mike Carey,,R,House,15,White,M,,,,,,,,Incumbent,X
Don Leonard,,D,House,15,White,M,https://donforohio.com/,99,https://www.facebook.com/people/Don-Leonard-for-Ohio/61581963835424/,https://www.instagram.com/donforohio/,https://www.youtube.com/@Don4Ohio/,https://www.tiktok.com/@donforohio,99,N/A,
Adam Miller,,D,House,15,White,M,https://www.adammillerforamerica.com/,https://x.com/adammiller2026,https://www.facebook.com/people/Adam-Miller-for-Congress-OH-15/61555363874447/,https://www.instagram.com/adammillerforcongress,https://www.youtube.com/channel/UCk9yUZmVHrTALkRkH6kGIdw,https://www.tiktok.com/@adam.miller.for.a,https://bsky.app/profile/adammiller2026.bsky.social,N/A,
Evan Pargeter,,R,House,15,Not Sure,M,99,99,99,99,99,99,99,N/A,
Samuel Ronan,,R,House,15,White,M,https://www.samronan.com/,https://x.com/Ronan4Progress,https://www.facebook.com/RonanForProgress,99,https://www.youtube.com/@Ronan4Progress,99,99,This guy is a socialist Democrat. I don't know what on Earth he's doing in the GOP Primary.,
Brennan Barrington,,L,House,15,Not Sure,M,99,99,99,99,99,99,99,N/A,